Rank,Name,Symbol,Price_USD,Change_1H_%,Change_24H_%,Change_7D_%,Market_Cap_USD,Volume_24H_USD,Circulating_Supply,Last_Updated
1,Bitcoin,BTC,58139.02,0.77,5.15,10.68,1145000000000,64650000000,19.75M BTC,2026-09-08 16:43:04
2,Ethereum,ETH,4264.83,-0.83,0.21,2.66,512780000000,21130000000,120.2M ETH,2026-09-08 16:43:04
3,Tether,USDT,0.9991,0.41,-2.37,19.78,120330000000,39000000000,120.3B USDT,2026-09-08 16:43:04
4,BNB,BNB,611.82,1.14,-3.09,9.19,89310000000,4350000000,146.1M BNB,2026-09-08 16:43:04
5,Solana,SOL,180.14,0.33,2.71,-8.12,84400000000,5330000000,468.5M SOL,2026-09-08 16:43:04
6,XRP,XRP,1.4113,0.6,0.5,19.91,81120000000,4430000000,56.8B XRP,2026-09-08 16:43:04
7,Dogecoin,DOGE,0.1251,0.83,4.14,14.19,18240000000,1240000000,145.9B DOGE,2026-09-08 16:43:04
8,Cardano,ADA,0.7204,0.22,1.28,5.41,25700000000,1100000000,35.7B ADA,2026-09-08 16:43:04
9,Avalanche,AVAX,124.75,-0.4,3.45,-0.69,49800000000,2150000000,399.1M AVAX,2026-09-08 16:43:04
10,Chainlink,LINK,25.93,0.91,3.34,8.16,15800000000,980000000,608.1M LINK,2026-09-08 16:43:04
11,Polygon,POL,0.974,-0.14,-1.81,3.09,7800000000,420000000,7.96B POL,2026-09-08 16:43:04
12,Toncoin,TON,3.9013,-0.94,-4.1,-6.48,9900000000,310000000,2.54B TON,2026-09-08 16:43:04
13,Polkadot,DOT,8.68,-0.45,-2.79,1.12,12400000000,520000000,1.43B DOT,2026-09-08 16:43:04
14,Litecoin,LTC,112.95,0.11,-0.79,4.79,8450000000,680000000,74.8M LTC,2026-09-08 16:43:04
15,TRON,TRX,0.2241,0.31,1.63,7.32,19400000000,890000000,86.7B TRX,2026-09-08 16:43:04
16,Near Protocol,NEAR,6.45,0.46,2.13,5.81,7800000000,410000000,1.21B NEAR,2026-09-08 16:43:04
17,Sui,SUI,3.2807,1.1,6.91,22.41,9400000000,1150000000,2.85B SUI,2026-09-08 16:43:04
18,Bitcoin Cash,BCH,452.17,-0.18,0.95,3.52,8980000000,370000000,19.8M BCH,2026-09-08 16:43:04
