Rank,Title,Year,IMDb Rating,Poster,IMDb URL
1,The Shawshank Redemption,1994,9.3,"https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt0111161/
2,The Godfather,1972,9.2,"https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt0068646/
3,The Dark Knight,2008,9.1,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt0468569/
4,The Godfather Part II,1974,9.0,"https://m.media-amazon.com/images/M/MV5BMDIxMzBlZDktZjMxNy00ZGI4LTgxNDEtYWRlNzRjMjJmOGQ1XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt0071562/
5,The Lord of the Rings: The Return of the King,2003,9.0,"https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt0167260/
6,12 Angry Men,1957,9.0,"https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg",https://www.imdb.com/title/tt0050083/
7,Schindler's List,1993,9.0,"https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt0108052/
8,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,"https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt0120737/
9,Pulp Fiction,1994,8.8,"https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg",https://www.imdb.com/title/tt0110912/
10,The Lord of the Rings: The Two Towers,2002,8.8,"https://m.media-amazon.com/images/M/MV5BMGQxMDdiOWUtYjc1Ni00YzM1LWE2NjMtZTg3Y2JkMjEzMTJjXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg",https://www.imdb.com/title/tt0167261/
11,"The Good, the Bad and the Ugly",1966,8.8,"https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt0060196/
12,Forrest Gump,1994,8.8,"https://m.media-amazon.com/images/M/MV5BNDYwNzVjMTItZmU5YS00YjQ5LTljYjgtMjY2NDVmYWMyNWFmXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg",https://www.imdb.com/title/tt0109830/
13,Fight Club,1999,8.8,"https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt0137523/
14,Inception,2010,8.8,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt1375666/
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"https://m.media-amazon.com/images/M/MV5BMTkxNGFlNDktZmJkNC00MDdhLTg0MTEtZjZiYWI3MGE5NWIwXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg",https://www.imdb.com/title/tt0080684/
16,The Matrix,1999,8.7,"https://m.media-amazon.com/images/M/MV5BN2NmN2VhMTQtMDNiOS00NDlhLTliMjgtODE2ZTY0ODQyNDRhXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt0133093/
17,Interstellar,2014,8.7,"https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt0816692/
18,GoodFellas,1990,8.7,"https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt0099685/
19,One Flew Over the Cuckoo's Nest,1975,8.6,"https://m.media-amazon.com/images/M/MV5BYjBkMjgzMzYtNzRiMS00NDc3LWE4YTUtZjYxYjZhNjNhYzhhXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt0073486/
20,Seven,1995,8.6,"https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@._V1_QL75_UX90_CR0,4,90,133_.jpg",https://www.imdb.com/title/tt0114369/
21,It's a Wonderful Life,1946,8.6,"https://m.media-amazon.com/images/M/MV5BMDM4OWFhYjEtNTE5Yy00NjcyLTg5N2UtZDQwNDZlYjlmNDU5XkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg",https://www.imdb.com/title/tt0038650/
22,The Silence of the Lambs,1991,8.6,"https://m.media-amazon.com/images/M/MV5BNDdhOGJhYzctYzYwZC00YmI2LWI0MjctYjg4ODdlMDExYjBlXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt0102926/
23,Saving Private Ryan,1998,8.6,"https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt0120815/
24,Seven Samurai,1954,8.6,"https://m.media-amazon.com/images/M/MV5BZjliMWExOTMtZDQ3ZS00NWU3LWIyN2EtMjllNzk3ZTNlYzg4XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt0047478/
25,The Green Mile,1999,8.6,"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt0120689/
26,City of God,2002,8.6,"https://m.media-amazon.com/images/M/MV5BYjY4NGI5OTUtY2ZlZS00Zjk4LTk5N2MtN2JmYWVjNGNmMGRlXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt0317248/
27,Life Is Beautiful,1997,8.6,"https://m.media-amazon.com/images/M/MV5BZTBhOGYzZjQtYzE0Mi00MGIwLWE0MWYtNzMxNTM2OTFkM2NjXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt0118799/
28,Terminator 2: Judgment Day,1991,8.6,"https://m.media-amazon.com/images/M/MV5BNGMyMGNkMDUtMjc2Ni00NWFlLTgyODEtZTY2MzBiZTg0OWZiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt0103064/
29,Back to the Future,1985,8.5,"https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_QL75_UX90_CR0,3,90,133_.jpg",https://www.imdb.com/title/tt0088763/
30,Star Wars: Episode IV - A New Hope,1977,8.6,"https://m.media-amazon.com/images/M/MV5BOGUwMDk0Y2MtNjBlNi00NmRiLTk2MWYtMGMyMDlhYmI4ZDBjXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg",https://www.imdb.com/title/tt0076759/
31,Spirited Away,2001,8.6,"https://m.media-amazon.com/images/M/MV5BNTEyNmEwOWUtYzkyOC00ZTQ4LTllZmUtMjk0Y2YwOGUzYjRiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt0245429/
32,Gladiator,2000,8.5,"https://m.media-amazon.com/images/M/MV5BYWQ4YmNjYjEtOWE1Zi00Y2U4LWI4NTAtMTU0MjkxNWQ1ZmJiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt0172495/
33,Kill Bill: The Whole Bloody Affair,2004,8.7,"https://m.media-amazon.com/images/M/MV5BZDc2YzhkODAtZmRmZS00YzcxLWJkYWEtM2ZhZjY3MmMyZmJiXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt6019206/
34,The Pianist,2002,8.5,"https://m.media-amazon.com/images/M/MV5BMjEwNmEwYjgtNTk3ZC00NjljLTg5ZDctZTY3ZGQwZjRkZmQxXkEyXkFqcGc@._V1_QL75_UY133_CR3,0,90,133_.jpg",https://www.imdb.com/title/tt0253474/
35,Parasite,2019,8.5,"https://m.media-amazon.com/images/M/MV5BYjk1Y2U4MjQtY2ZiNS00OWQyLWI3MmYtZWUwNmRjYWRiNWNhXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt6751668/
